index,parameters,dropout,layer_1,layer_2,alpha,training,validation,overfit_%
673,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,3,1.00E-05,0.846846847,0.625,-26.19680851
674,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,3,1.00E-05,0.758928571,0.857142857,12.94117647
675,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,5,4,0.1,0.810810811,0.625,-22.91666667
676,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,5,4,0.1,0.810810811,0.875,7.916666667
677,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,5,4,0.1,0.630630631,0.625,-0.892857143
678,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,5,4,0.1,0.675675676,0.375,-44.5
679,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,5,4,0.1,0.846846847,0.5,-40.95744681
680,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,5,4,0.1,0.747747748,0.375,-49.84939759
681,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,5,4,0.1,0.855855856,0.75,-12.36842105
682,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,5,4,0.1,0.702702703,0.875,24.51923077
683,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,5,4,0.1,0.801801802,0.5,-37.64044944
684,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,5,4,0.1,0.81981982,1,21.97802198
685,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,5,4,0.1,0.810810811,0.875,7.916666667
686,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,5,4,0.1,0.792792793,0.625,-21.16477273
687,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,5,4,0.1,0.810810811,1,23.33333333
688,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,5,4,0.1,0.855855856,0.625,-26.97368421
689,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.1}",0.4,5,4,0.1,0.767857143,0.857142857,11.62790698
690,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,5,4,0.01,0.720720721,0.5,-30.625
691,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,5,4,0.01,0.72972973,0.75,2.777777778
692,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,5,4,0.01,0.747747748,0.875,17.01807229
693,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,5,4,0.01,0.81981982,0.5,-39.01098901
694,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,5,4,0.01,0.864864865,0.5,-42.1875
695,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,5,4,0.01,0.738738739,0.375,-49.23780488
696,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,5,4,0.01,0.693693694,0.25,-63.96103896
697,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,5,4,0.01,0.81981982,0.875,6.730769231
698,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,5,4,0.01,0.783783784,0.5,-36.20689655
699,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,5,4,0.01,0.783783784,0.75,-4.310344828
700,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,5,4,0.01,0.81981982,0.75,-8.516483516
701,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,5,4,0.01,0.738738739,0.75,1.524390244
702,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,5,4,0.01,0.756756757,0.625,-17.41071429
703,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,5,4,0.01,0.702702703,0.5,-28.84615385
704,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.01}",0.4,5,4,0.01,0.883928571,1,13.13131313
705,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,5,4,0.001,0.801801802,0.5,-37.64044944
706,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,5,4,0.001,0.810810811,0.875,7.916666667
707,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,5,4,0.001,0.846846847,0.875,3.324468085
708,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,5,4,0.001,0.765765766,0.375,-51.02941176
709,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,5,4,0.001,0.765765766,0.5,-34.70588235
710,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,5,4,0.001,0.837837838,0.5,-40.32258065
711,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,5,4,0.001,0.837837838,0.625,-25.40322581
712,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,5,4,0.001,0.801801802,0.75,-6.460674157
713,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,5,4,0.001,0.81981982,0.75,-8.516483516
714,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,5,4,0.001,0.657657658,0.625,-4.965753425
715,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,5,4,0.001,0.828828829,0.75,-9.510869565
716,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,5,4,0.001,0.774774775,0.875,12.93604651
717,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,5,4,0.001,0.783783784,0.875,11.63793103
718,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,5,4,0.001,0.711711712,0.625,-12.1835443
719,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.001}",0.4,5,4,0.001,0.830357143,0.857142857,3.225806452
720,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,4,0.0001,0.891891892,0.625,-29.92424242
721,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,4,0.0001,0.873873874,0.75,-14.17525773
722,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,4,0.0001,0.864864865,1,15.625
723,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,4,0.0001,0.828828829,0.375,-54.75543478
724,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,4,0.0001,0.72972973,0.5,-31.48148148
725,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,4,0.0001,0.738738739,0.5,-32.31707317
726,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,4,0.0001,0.711711712,0.5,-29.74683544
727,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,4,0.0001,0.801801802,0.75,-6.460674157
728,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,4,0.0001,0.72972973,0.375,-48.61111111
729,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,4,0.0001,0.873873874,0.875,0.128865979
730,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,4,0.0001,0.801801802,0.75,-6.460674157
731,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,4,0.0001,0.891891892,0.625,-29.92424242
732,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,4,0.0001,0.738738739,0.875,18.44512195
733,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,4,0.0001,0.684684685,0.625,-8.717105263
734,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 0.0001}",0.4,5,4,0.0001,0.875,1,14.28571429
735,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,4,1.00E-05,0.765765766,0.625,-18.38235294
736,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,4,1.00E-05,0.774774775,0.75,-3.197674419
737,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,4,1.00E-05,0.684684685,0.75,9.539473684
738,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,4,1.00E-05,0.810810811,0.375,-53.75
739,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,4,1.00E-05,0.801801802,0.5,-37.64044944
740,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,4,1.00E-05,0.846846847,0.625,-26.19680851
741,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,4,1.00E-05,0.81981982,0.625,-23.76373626
742,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,4,1.00E-05,0.720720721,0.75,4.0625
743,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,4,1.00E-05,0.810810811,0.5,-38.33333333
744,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,4,1.00E-05,0.882882883,0.75,-15.05102041
745,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,4,1.00E-05,0.846846847,0.875,3.324468085
746,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,4,1.00E-05,0.837837838,0.625,-25.40322581
747,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,4,1.00E-05,0.765765766,0.75,-2.058823529
748,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,4,1.00E-05,0.873873874,0.625,-28.47938144
749,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 5, 'nn_model__layer_2': 4, 'nn_model__regularisation_alpha': 1e-05}",0.4,5,4,1.00E-05,0.678571429,0.714285714,5.263157895
750,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,6,3,0.1,0.675675676,0.375,-44.5
751,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,6,3,0.1,0.594594595,0.625,5.113636364
752,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,6,3,0.1,0.675675676,0.875,29.5
753,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,6,3,0.1,0.738738739,0.375,-49.23780488
754,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,6,3,0.1,0.657657658,0.5,-23.97260274
755,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,6,3,0.1,0.810810811,0.5,-38.33333333
756,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,6,3,0.1,0.846846847,0.75,-11.43617021
757,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,6,3,0.1,0.603603604,0.875,44.96268657
758,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,6,3,0.1,0.828828829,0.5,-39.67391304
759,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,6,3,0.1,0.72972973,0.75,2.777777778
760,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,6,3,0.1,0.855855856,1,16.84210526
761,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,6,3,0.1,0.702702703,0.875,24.51923077
762,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,6,3,0.1,0.594594595,0.5,-15.90909091
763,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,6,3,0.1,0.837837838,0.625,-25.40322581
764,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.1}",0.4,6,3,0.1,0.767857143,0.714285714,-6.976744186
765,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,6,3,0.01,0.810810811,0.625,-22.91666667
766,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,6,3,0.01,0.81981982,0.875,6.730769231
767,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,6,3,0.01,0.756756757,0.625,-17.41071429
768,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,6,3,0.01,0.855855856,0.625,-26.97368421
769,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,6,3,0.01,0.747747748,0.5,-33.13253012
770,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,6,3,0.01,0.738738739,0.5,-32.31707317
771,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,6,3,0.01,0.702702703,0.5,-28.84615385
772,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,6,3,0.01,0.81981982,0.875,6.730769231
773,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,6,3,0.01,0.72972973,0.5,-31.48148148
774,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,6,3,0.01,0.882882883,0.625,-29.20918367
775,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,6,3,0.01,0.828828829,0.875,5.570652174
776,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,6,3,0.01,0.648648649,0.875,34.89583333
777,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,6,3,0.01,0.855855856,0.625,-26.97368421
778,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,6,3,0.01,0.783783784,0.5,-36.20689655
779,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.01}",0.4,6,3,0.01,0.848214286,1,17.89473684
780,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,6,3,0.001,0.882882883,0.5,-43.36734694
781,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,6,3,0.001,0.846846847,0.875,3.324468085
782,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,6,3,0.001,0.702702703,0.625,-11.05769231
783,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,6,3,0.001,0.792792793,0.5,-36.93181818
784,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,6,3,0.001,0.882882883,0.625,-29.20918367
785,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,6,3,0.001,0.801801802,0.5,-37.64044944
786,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,6,3,0.001,0.90990991,0.625,-31.31188119
787,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,6,3,0.001,0.90990991,0.875,-3.836633663
788,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,6,3,0.001,0.738738739,0.5,-32.31707317
789,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,6,3,0.001,0.801801802,0.75,-6.460674157
790,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,6,3,0.001,0.54954955,0.75,36.47540984
791,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,6,3,0.001,0.702702703,0.875,24.51923077
792,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,6,3,0.001,0.774774775,0.875,12.93604651
793,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,6,3,0.001,0.747747748,0.375,-49.84939759
794,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.001}",0.4,6,3,0.001,0.892857143,0.857142857,-4
795,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,3,0.0001,0.567567568,0.375,-33.92857143
796,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,3,0.0001,0.666666667,0.75,12.5
797,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,3,0.0001,0.900900901,1,11
798,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,3,0.0001,0.720720721,0.375,-47.96875
799,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,3,0.0001,0.846846847,0.625,-26.19680851
800,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,3,0.0001,0.873873874,0.5,-42.78350515
801,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,3,0.0001,0.810810811,0.5,-38.33333333
802,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,3,0.0001,0.900900901,0.75,-16.75
803,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,3,0.0001,0.657657658,0.375,-42.97945205
804,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,3,0.0001,0.657657658,0.625,-4.965753425
805,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,3,0.0001,0.63963964,0.5,-21.83098592
806,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,3,0.0001,0.882882883,0.75,-15.05102041
807,"{'nn_model__dropout_rate': 0.4, 'nn_model__layer_1': 6, 'nn_model__layer_2': 3, 'nn_model__regularisation_alpha': 0.0001}",0.4,6,3,0.0001,0.711711712,0.75,5.379746835
